Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,cost_rank
1,Us Virgin Islands,98.4,46.4,75.4,106.3,90.5,72.3,2025,1
2,Switzerland,98.4,45.2,74.8,103.1,98.4,159.7,2025,1
3,Iceland,83.4,43.7,65.9,90.3,94.7,123.5,2025,3
4,Bahamas,81.4,46.9,66.1,79.1,94.5,58.4,2025,4
5,Singapore,79.1,67.0,73.7,70.8,53.5,93.8,2025,5
6,Hong Kong (China),73.6,55.7,65.7,75.9,49.7,101.0,2025,6
7,Barbados,70.0,20.1,47.9,78.1,70.3,45.9,2025,7
8,Norway,69.0,24.8,49.4,71.9,74.6,119.5,2025,8
9,Papua New Guinea,67.4,36.6,53.7,51.9,37.9,14.0,2025,9
10,Denmark,66.9,25.7,48.6,61.0,80.8,133.6,2025,10
11,Guernsey,66.1,45.7,57.1,70.5,65.9,136.6,2025,11
12,Israel,65.2,27.1,48.3,61.2,74.5,110.0,2025,12
13,United States,64.9,40.9,54.3,71.7,69.3,146.2,2025,13
14,Luxembourg,64.8,42.2,54.8,65.3,72.8,177.1,2025,14
15,Australia,60.9,29.8,47.1,67.9,59.2,135.4,2025,15
16,Austria,60.7,22.0,43.6,62.2,59.7,107.1,2025,16
17,Netherlands,60.5,32.1,47.9,56.8,67.7,129.9,2025,17
18,Ireland,59.8,39.0,50.6,56.9,65.8,108.9,2025,18
19,United Kingdom,59.2,30.0,46.3,54.8,65.3,119.9,2025,19
20,Puerto Rico,58.7,19.9,41.5,63.1,53.4,111.0,2025,21
21,Finland,58.7,19.1,41.1,59.4,64.7,124.5,2025,21
22,Canada,58.7,30.3,46.1,65.3,59.9,109.1,2025,21
23,Germany,58.4,22.4,42.4,56.7,57.5,127.1,2025,23
24,France,58.0,19.4,41.0,63.6,56.1,110.0,2025,24
25,Macao (China),56.8,29.4,44.6,68.2,40.4,103.8,2025,25
26,South Korea,56.5,15.1,38.2,74.5,32.8,105.0,2025,26
27,Belgium,56.5,19.3,40.1,54.6,67.1,116.1,2025,26
28,New Zealand,55.3,23.4,41.2,62.2,53.8,130.5,2025,28
29,Sweden,54.2,19.1,38.7,55.5,56.0,130.3,2025,29
30,United Arab Emirates,54.1,39.7,47.8,42.4,59.9,128.3,2025,30
31,Italy,51.0,17.7,36.3,53.5,53.0,85.1,2025,31
32,Jamaica,50.3,17.7,35.9,59.6,42.8,36.4,2025,32
33,Costa Rica,50.1,18.5,36.1,56.2,47.8,50.9,2025,33
34,Cyprus,49.5,24.0,38.2,47.0,52.7,80.4,2025,34
35,Estonia,49.4,14.1,33.8,45.1,54.0,84.2,2025,35
36,Trinidad And Tobago,48.9,13.7,33.3,54.1,45.2,46.1,2025,36
37,Yemen,48.4,5.9,29.6,61.5,33.9,20.0,2025,37
38,Bahrain,48.3,20.4,36.0,46.2,47.6,117.5,2025,38
39,Malta,48.0,23.3,37.1,48.1,55.1,75.3,2025,39
40,Qatar,47.5,34.4,41.7,42.2,46.4,177.9,2025,40
41,Greece,46.5,11.8,31.1,44.4,51.1,59.5,2025,41
42,Uruguay,46.3,12.5,31.3,46.5,49.5,54.1,2025,42
43,Slovenia,46.2,18.9,34.1,45.8,43.9,83.6,2025,43
44,Japan,45.6,14.1,31.6,54.5,29.4,119.8,2025,44
45,Maldives,45.3,22.0,35.0,50.5,34.1,51.9,2025,45
46,Brunei,44.4,15.2,31.5,64.6,29.5,117.6,2025,46
47,Taiwan,44.4,13.1,30.5,58.0,25.5,101.2,2025,46
48,Lithuania,44.0,14.4,30.9,40.1,49.1,79.8,2025,48
49,Panama,43.9,22.5,34.4,49.6,41.9,46.3,2025,49
50,Spain,43.5,21.2,33.6,43.0,46.1,98.1,2025,50
51,Latvia,43.4,10.0,28.6,40.6,43.2,75.8,2025,51
52,Croatia,43.2,14.5,30.5,40.9,46.8,78.8,2025,52
53,Ethiopia,43.2,15.7,31.0,46.5,22.8,13.3,2025,52
54,Czech Republic,42.6,17.6,31.5,41.0,35.3,88.5,2025,54
55,Slovakia,42.1,14.1,29.7,43.1,35.7,74.0,2025,55
56,Saudi Arabia,41.9,11.5,28.4,40.2,33.9,146.1,2025,56
57,Belize,41.4,11.6,28.2,46.7,34.7,69.9,2025,57
58,Portugal,41.2,22.2,32.8,40.5,38.4,59.7,2025,58
59,Cuba,40.8,11.6,27.9,41.1,26.6,2.5,2025,59
60,Kuwait,40.4,21.9,32.2,33.7,40.8,174.0,2025,60
61,Albania,39.9,11.7,27.4,40.4,38.2,42.7,2025,61
62,Oman,39.8,12.0,27.5,38.9,38.4,150.3,2025,62
63,Armenia,39.6,17.6,29.9,34.5,42.3,37.6,2025,63
64,Palestine,39.5,7.8,25.5,41.0,32.8,48.9,2025,64
65,Botswana,39.5,5.6,24.5,28.1,24.9,63.5,2025,64
66,Mozambique,38.9,13.2,27.5,33.6,37.1,25.3,2025,66
67,Poland,38.9,16.1,28.8,34.7,39.5,91.4,2025,66
68,Lebanon,38.8,13.6,27.7,31.2,40.9,35.1,2025,68
69,Ivory Coast,38.8,14.5,28.0,34.6,32.2,13.3,2025,68
70,Somalia,38.7,3.5,23.1,30.7,23.3,27.7,2025,70
71,El Salvador,37.9,15.6,28.0,42.8,32.4,33.8,2025,71
72,Jordan,37.2,7.7,24.1,35.3,37.2,51.7,2025,72
73,Guatemala,36.8,12.6,26.1,41.7,34.8,38.6,2025,73
74,Hungary,36.6,11.1,25.3,35.4,36.2,70.7,2025,74
75,Montenegro,36.3,14.9,26.8,34.7,37.7,56.8,2025,75
76,Cameroon,36.2,17.2,27.8,34.7,42.2,9.7,2025,76
77,Serbia,35.9,12.2,25.4,34.1,35.5,57.6,2025,77
78,Venezuela,35.9,5.8,22.6,39.5,39.9,15.8,2025,77
79,Argentina,35.7,9.9,24.3,37.0,39.8,41.1,2025,79
80,Mauritius,35.6,9.7,24.1,39.1,29.9,49.4,2025,80
81,Bulgaria,35.4,10.1,24.2,36.7,36.7,74.4,2025,81
82,Chile,35.1,10.6,24.3,38.1,36.8,51.0,2025,82
83,Zimbabwe,34.7,8.5,23.1,33.9,33.2,29.6,2025,83
84,Turkey,34.7,12.8,25.0,35.6,34.1,51.2,2025,83
85,Rwanda,34.6,8.2,22.9,23.8,21.2,20.7,2025,85
86,Honduras,34.6,10.2,23.8,39.0,31.5,42.5,2025,85
87,Mexico,34.5,14.1,25.4,38.2,36.0,46.9,2025,87
88,Dominican Republic,34.3,9.8,23.5,36.2,33.3,31.4,2025,88
89,Romania,34.0,9.6,23.2,33.9,35.7,73.1,2025,89
90,Cambodia,33.9,9.4,23.0,40.9,24.4,26.7,2025,90
91,Zambia,33.8,9.8,23.1,29.0,22.1,23.0,2025,91
92,Thailand,33.7,11.9,24.1,40.5,21.4,46.0,2025,92
93,Sri Lanka,33.5,6.3,21.5,49.9,23.3,18.2,2025,93
94,Fiji,32.0,15.6,24.8,40.8,30.4,56.9,2025,94
95,Tanzania,31.8,8.8,21.6,27.1,22.0,22.1,2025,95
96,Bosnia And Herzegovina,31.6,6.1,20.3,32.9,24.1,63.3,2025,96
97,Moldova,30.8,12.6,22.7,29.5,27.2,46.3,2025,97
98,China,30.7,11.6,22.2,34.2,21.8,77.9,2025,98
99,Ghana,30.6,12.1,22.4,33.3,30.1,16.7,2025,99
100,Mongolia,30.6,14.3,23.4,38.6,24.2,30.8,2025,99
101,Georgia,30.4,12.8,22.6,31.2,33.5,39.6,2025,101
102,North Macedonia,30.3,6.8,19.9,30.2,24.7,59.7,2025,102
103,Ecuador,30.0,8.0,20.3,33.2,27.1,45.6,2025,103
104,South Africa,30.0,11.1,21.6,27.5,29.3,111.2,2025,103
105,Malaysia,29.7,8.1,20.1,37.3,22.1,83.8,2025,105
106,Azerbaijan,29.5,9.0,20.4,28.3,33.1,41.4,2025,106
107,Peru,29.4,9.2,20.5,32.4,25.3,38.2,2025,107
108,Namibia,29.3,11.4,21.4,31.3,28.9,62.2,2025,108
109,Philippines,28.8,6.9,19.1,34.3,19.0,37.3,2025,109
110,Kenya,28.2,7.6,19.1,30.2,25.0,35.1,2025,110
111,Morocco,27.2,7.1,18.3,28.8,22.2,41.7,2025,111
112,Iraq,26.9,7.3,18.2,27.9,22.9,54.5,2025,112
113,Vietnam,26.6,9.2,18.9,32.1,16.8,42.3,2025,113
114,Kazakhstan,26.6,10.5,19.4,27.4,28.0,50.8,2025,113
115,Nigeria,26.4,21.8,24.4,31.8,21.6,10.6,2025,115
116,Uganda,26.0,8.5,18.2,28.3,24.7,16.4,2025,116
117,Colombia,26.0,8.1,18.1,27.7,22.9,36.0,2025,116
118,Kosovo (Disputed Territory),25.7,6.7,17.3,27.1,20.9,52.9,2025,118
119,Brazil,25.6,7.2,17.4,25.9,22.5,42.3,2025,119
120,Tunisia,25.5,4.6,16.3,31.0,16.1,34.7,2025,120
121,Kyrgyzstan,25.4,10.8,18.9,28.0,21.4,35.6,2025,121
122,Bolivia,25.2,8.3,17.7,25.9,22.4,43.9,2025,122
123,Belarus,25.0,8.7,17.8,24.7,27.5,54.7,2025,123
124,Indonesia,24.6,7.7,17.1,32.5,15.2,33.9,2025,124
125,Ukraine,24.6,7.8,17.1,25.2,21.9,46.3,2025,124
126,Algeria,24.5,3.4,15.2,33.2,14.5,34.5,2025,126
127,Uzbekistan,24.2,12.0,18.8,26.6,20.8,44.5,2025,127
128,Iran,23.6,8.5,16.9,20.8,16.9,28.4,2025,128
129,Syria,23.3,3.5,14.5,24.5,17.8,5.4,2025,129
130,Paraguay,23.0,8.6,16.6,22.7,19.8,41.0,2025,130
131,Nepal,23.0,3.0,14.1,24.0,18.7,29.0,2025,130
132,Russia,22.3,7.5,15.8,21.8,21.8,56.2,2025,132
133,Bangladesh,20.9,2.4,12.7,25.2,15.4,35.6,2025,133
134,Madagascar,20.7,4.5,13.5,21.6,14.3,15.0,2025,134
135,Afghanistan,19.9,2.0,12.0,17.3,14.3,35.0,2025,135
136,India,19.5,5.0,13.1,22.5,16.6,82.2,2025,136
137,Egypt,19.0,3.5,12.2,19.7,18.2,21.1,2025,137
138,Libya,18.6,3.9,12.1,22.8,13.9,51.6,2025,138
139,Pakistan,17.8,2.9,11.2,17.2,15.0,30.5,2025,139
